"vlr_latitude","vlr_longitude","cod_munic","cod_cnes","nom_estab","dsc_endereco","dsc_bairro","dsc_cidade","dsc_telefone","dsc_estrut_fisic_ambiencia","dsc_adap_defic_fisic_idosos","dsc_equipamentos","dsc_medicamentos"
"-10.9112370014188","-37.0620775222768","280030","3492","US OSWALDO DE SOUZA","TV ADALTO BOTELHO","GETULIO VARGAS","Aracaju","7931791326","Desempenho acima da média","Desempenho muito acima da média","Desempenho mediano ou  um pouco abaixo da média","Desempenho acima da média"
"-9.48594331741306","-35.8575725555409","270770","6685315","USF ENFERMEIRO PEDRO JACINTO AREA 09","R 15 DE AGOSTO","CENTRO","Rio Largo","Não se aplica","Desempenho mediano ou  um pouco abaixo da média","Desempenho mediano ou  um pouco abaixo da média","Desempenho mediano ou  um pouco abaixo da média","Desempenho mediano ou  um pouco abaixo da média"
"-23.896","-53.41","411885","6811299","UNIDADE DE ATENCAO PRIMARIA SAUDE DA FAMILIA","RUA GUILHERME BRUXEL","CENTRO","Perobal","4436251462","Desempenho muito acima da média","Desempenho muito acima da média","Desempenho mediano ou  um pouco abaixo da média","Desempenho muito acima da média"
"-16.447874307632","-41.0098600387561","313580","6335616","POSTO DE SAUDE DE BOM JESUS DA ALDEIA","RUA TEOFILO OTONI","ALDEIA","Jequitinhonha","3337411423","Desempenho mediano ou  um pouco abaixo da média","Desempenho acima da média","Desempenho mediano ou  um pouco abaixo da média","Desempenho mediano ou  um pouco abaixo da média"
"-6.57331109046917","-35.1076054573049","250930","6662226","POSTO ANCORA URUBA","RODOVIA PB N 065","SITIO","Mataraca","Não se aplica","Desempenho acima da média","Desempenho acima da média","Desempenho mediano ou  um pouco abaixo da média","Desempenho mediano ou  um pouco abaixo da média"
"-7.03715085983256","-37.2887992858876","251080","6713971","UNIDADE DE SAUDE DA FAMILIA ANA RAQUEL","RUA SEVERINO SOARES","JD GUANABARA","Patos","Não se aplica","Desempenho mediano ou  um pouco abaixo da média","Desempenho mediano ou  um pouco abaixo da média","Desempenho mediano ou  um pouco abaixo da média","Desempenho mediano ou  um pouco abaixo da média"
"-5.99885702133161","-40.2936887741077","231330","3322076","PSF ODILON AGUIAR","RUA DOMINGAS GOMES","CENTRO","Tauá","(88)4373850","Desempenho mediano ou  um pouco abaixo da média","Desempenho mediano ou  um pouco abaixo da média","Desempenho mediano ou  um pouco abaixo da média","Desempenho acima da média"
"-24.5821130275719","-49.435493946074","412863","6749836","UAPSF PROF HETTY ROSA DE MOURA E COSTA","AVENIDA EZIDIO NEVES","CERRADO","Doutor Ulysses","4136641208","Desempenho muito acima da média","Desempenho muito acima da média","Desempenho acima da média","Desempenho acima da média"
"-5.89795231819136","-44.8160004615771","211230","2450801","UNIDADE BASICA DE SAUDE JOSE BIBI","POVOADO SAO JOAQUIM DOS MELOS","ZONA RURAL","Tuntum","9935225071","Desempenho mediano ou  um pouco abaixo da média","Desempenho mediano ou  um pouco abaixo da média","Desempenho mediano ou  um pouco abaixo da média","Desempenho mediano ou  um pouco abaixo da média"
"-9.55789089202853","-37.3832130432118","270840","6461689","USF NOSSA SENHORA DO BOM PARTO","RUA AFONSO SOARES VIEIRA","CENTRO","São José da Tapera","Não se aplica","Desempenho mediano ou  um pouco abaixo da média","Desempenho acima da média","Desempenho mediano ou  um pouco abaixo da média","Desempenho mediano ou  um pouco abaixo da média"
"-3.09060215950003","-59.9864888191206","130260","2014815","UBS L 29","RUA FLAVIO COSTA","COROADO I","Manaus","9232492767","Desempenho mediano ou  um pouco abaixo da média","Desempenho mediano ou  um pouco abaixo da média","Desempenho mediano ou  um pouco abaixo da média","Desempenho mediano ou  um pouco abaixo da média"
"-15.6327939033504","-58.1737661361677","510710","2394243","UNIDADE DE SAUDE DA FAMILIA ZEFERINO II","RUA RUI BARBOSA","JARDIM ZEFERINO II","São José dos Quatro Marcos","(65)3251-2978","Desempenho muito acima da média","Desempenho acima da média","Desempenho mediano ou  um pouco abaixo da média","Desempenho mediano ou  um pouco abaixo da média"
"-14.5426476001735","-52.7972888946518","510260","2395487","CENTRO DE SAUDE MUNICIPAL DE CAPINAPOLIS","AV XV DE NOVEMBRO","CENTRO","Campinápolis","(66) 4371631","Desempenho mediano ou  um pouco abaixo da média","Desempenho mediano ou  um pouco abaixo da média","Desempenho acima da média","Desempenho mediano ou  um pouco abaixo da média"
"-16.0691678524013","-47.9820585250841","522185","2383411","UNIDADE BASICA DE SAUDE VALPARAISO","CENTRO COMERCIAL QUADRA 07","VALPARAISO I","Valparaíso de Goiás","6136276636","Desempenho mediano ou  um pouco abaixo da média","Desempenho mediano ou  um pouco abaixo da média","Desempenho mediano ou  um pouco abaixo da média","Desempenho acima da média"
"-27.029885","-48.668039","420320","6816878","UNIDADE SAUDE DA FAMILIA SANTA REGINA","MANAGUA","SANTA REGINA","Camboriú","4733653239","Desempenho muito acima da média","Desempenho muito acima da média","Desempenho acima da média","Desempenho mediano ou  um pouco abaixo da média"
"-29.6088624000541","-51.1745309829697","431080","2230313","POSTO MORADA DO SOL IVOTI","RUA CAXIAS DO SUL","JARDIM BUHLER","Ivoti","35636067","Desempenho mediano ou  um pouco abaixo da média","Desempenho mediano ou  um pouco abaixo da média","Desempenho mediano ou  um pouco abaixo da média","Desempenho mediano ou  um pouco abaixo da média"
"-15.453","-47.614","521760","2438623","UNIDADE BASICA DE SAUDE 06 QA11 LESTE","QA11 MC","SETOR LESTE","Planaltina","(61)6371273","Desempenho mediano ou  um pouco abaixo da média","Desempenho mediano ou  um pouco abaixo da média","Desempenho mediano ou  um pouco abaixo da média","Desempenho mediano ou  um pouco abaixo da média"
"-22.0929586887353","-43.9471149444567","315590","2141728","POSTO DE SAUDE DE SAO CRISTOVAO","RUA PE ARLINDO VIEIRA","SAO CRISTOVAO","Rio Preto","3232831542","Desempenho mediano ou  um pouco abaixo da média","Desempenho mediano ou  um pouco abaixo da média","Desempenho mediano ou  um pouco abaixo da média","Desempenho mediano ou  um pouco abaixo da média"
"-12.431","-38.328","292520","2653486","UNIDADE BASICA DO PSF DA INOCOOP","RUA DALVA MONTE CRUZ","INOCOOP","Pojuca","(71)06452484","Desempenho acima da média","Desempenho mediano ou  um pouco abaixo da média","Desempenho mediano ou  um pouco abaixo da média","Desempenho muito acima da média"
